,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
4584,4585,2011-07-14,fall,0,7,22,0,Thursday,Yes,Clear,0.64,0.6212,0.57,0.0896,42.0,134.0,176.0
4585,4586,2011-07-14,fall,0,7,23,0,Thursday,Yes,Clear,0.64,0.6061,0.65,,27.0,97.0,124.0
4586,4587,2011-07-15,fall,0,7,0,0,Friday,Yes,Clear,0.62,0.5909,0.73,0.2239,23.0,,80.0
4587,4588,2011-07-15,fall,0,7,1,0,Friday,Yes,Clear,0.62,0.5909,0.73,0.19399999999999998,7.0,13.0,20.0
4588,4589,2011-07-15,fall,0,7,2,0,Friday,Yes,Clear,,0.5758,0.78,0.1642,16.0,22.0,38.0
4589,4590,2011-07-15,fall,0,7,3,0,Friday,Yes,Clear,0.6,,0.73,0.19399999999999998,1.0,6.0,7.0
4590,4591,2011-07-15,fall,0,7,4,0,Friday,Yes,Clear,0.6,0.5909,0.73,,,8.0,10.0
4591,4592,2011-07-15,fall,0,7,5,0,Friday,Yes,Clear,0.6,0.5909,0.73,0.1343,7.0,16.0,23.0
4592,4593,2011-07-15,fall,0,7,6,0,Friday,Yes,Cloudy,0.6,,0.73,0.1045,12.0,108.0,120.0
4593,4594,2011-07-15,fall,0,7,7,0,Friday,Yes,Clear,0.64,0.6061,,0.1045,17.0,257.0,274.0
4594,4595,2011-07-15,fall,0,7,8,0,Friday,Yes,Clear,0.64,0.6061,0.65,0.2537,50.0,514.0,564.0
4595,4596,2011-07-15,fall,0,7,9,0,Friday,Yes,Clear,0.68,0.6364,0.54,0.19399999999999998,31.0,176.0,207.0
4596,4597,2011-07-15,fall,0,7,10,0,Friday,Yes,Cloudy,0.66,0.6212,0.61,0.1642,59.0,107.0,166.0
4597,4598,2011-07-15,fall,0,7,11,0,Friday,Yes,Clear,0.7,,0.54,0.1343,73.0,137.0,210.0
4598,4599,2011-07-15,fall,0,7,12,0,Friday,Yes,Clear,0.7,0.6515,0.48,0.19399999999999998,61.0,177.0,238.0
4599,4600,2011-07-15,fall,0,7,13,0,Friday,Yes,Clear,0.7,0.6515,0.54,0.19399999999999998,85.0,,247.0
4600,4601,2011-07-15,fall,0,7,14,0,Friday,Yes,,,0.6515,0.51,0.19399999999999998,105.0,,265.0
4601,4602,2011-07-15,fall,0,7,15,0,Friday,Yes,Clear,0.72,,0.45,0.1642,74.0,163.0,237.0
4602,4603,2011-07-15,fall,0,7,16,0,Friday,Yes,Clear,0.72,,0.51,0.19399999999999998,96.0,,
4603,4604,2011-07-15,fall,0,7,17,0,Friday,Yes,Clear,0.74,0.6667,0.42,0.2537,104.0,483.0,587.0
4604,4605,2011-07-15,fall,0,7,18,0,Friday,Yes,Clear,0.72,0.6515,,0.2239,102.0,394.0,496.0
4605,4606,2011-07-15,fall,0,7,19,0,Friday,Yes,Clear,0.7,0.6364,0.45,0.2239,,280.0,394.0
4606,4607,2011-07-15,fall,0,7,20,0,Friday,Yes,Clear,0.7,0.6515,0.51,0.2239,92.0,251.0,343.0
4607,4608,2011-07-15,fall,0,7,21,0,Friday,Yes,Clear,0.66,0.6212,,0.1045,75.0,186.0,261.0
4608,4609,2011-07-15,fall,0,7,22,0,Friday,Yes,Clear,0.66,0.6212,0.57,0.2239,71.0,152.0,223.0
4609,4610,2011-07-15,fall,0,7,23,0,Friday,Yes,Clear,,0.6212,,0.1642,41.0,126.0,
4610,4611,2011-07-16,fall,0,7,0,0,Saturday,No,,0.62,0.6061,0.65,0.19399999999999998,42.0,68.0,110.0
4611,4612,2011-07-16,fall,0,7,1,0,Saturday,No,Clear,0.6,0.5909,0.69,0.1045,24.0,51.0,75.0
4612,4613,2011-07-16,fall,0,7,2,0,Saturday,No,Clear,0.6,0.5909,0.73,,10.0,48.0,58.0
4613,4614,2011-07-16,fall,0,7,3,0,Saturday,No,Clear,0.6,0.5758,0.78,0.1343,6.0,,26.0
4614,4615,2011-07-16,fall,0,7,4,0,Saturday,No,Clear,,0.5909,0.73,0.0896,9.0,7.0,16.0
4615,4616,2011-07-16,fall,0,7,5,0,Saturday,No,Clear,0.58,0.5455,0.78,0.0896,4.0,6.0,10.0
4616,4617,2011-07-16,fall,0,7,6,0,Saturday,No,Clear,0.6,0.5758,0.78,0.1642,16.0,21.0,37.0
4617,4618,2011-07-16,fall,0,7,7,0,Saturday,No,,0.62,0.5909,0.73,0.1343,,38.0,52.0
4618,4619,2011-07-16,fall,0,7,8,0,Saturday,No,Clear,0.66,0.6212,,0.1642,37.0,90.0,127.0
4619,4620,2011-07-16,fall,0,7,9,0,Saturday,No,Clear,0.7,0.6515,0.54,0.2239,72.0,150.0,222.0
4620,4621,2011-07-16,fall,0,7,10,0,Saturday,No,Clear,,0.6667,0.54,0.19399999999999998,114.0,208.0,322.0
4621,4622,2011-07-16,fall,0,7,11,0,Saturday,No,,0.74,,0.48,0.2239,171.0,225.0,396.0
4622,4623,2011-07-16,fall,0,7,12,0,Saturday,No,Clear,0.76,0.6818,0.43,0.2836,187.0,276.0,463.0
4623,4624,2011-07-16,fall,0,7,13,0,Saturday,No,Clear,0.76,,0.45,0.2985,221.0,276.0,497.0
4624,4625,2011-07-16,fall,0,7,14,0,Saturday,No,Clear,0.74,0.6667,0.45,0.2985,201.0,232.0,433.0
4625,4626,2011-07-16,fall,0,7,15,0,Saturday,No,Clear,0.76,0.6818,0.45,0.3284,205.0,223.0,428.0
4626,4627,2011-07-16,fall,0,7,16,0,Saturday,No,Clear,0.76,0.6818,0.45,0.2836,183.0,242.0,425.0
4627,4628,2011-07-16,fall,0,7,17,0,Saturday,No,Clear,0.76,0.6818,0.45,0.2239,234.0,241.0,475.0
4628,4629,2011-07-16,fall,0,7,18,0,Saturday,No,Clear,0.76,0.6818,0.45,,185.0,243.0,428.0
4629,4630,2011-07-16,fall,0,7,19,0,Saturday,No,Clear,0.74,0.6818,0.48,0.19399999999999998,164.0,242.0,406.0
4630,4631,2011-07-16,fall,0,7,20,0,Saturday,No,Clear,0.72,0.6667,,0.2239,108.0,188.0,296.0
4631,4632,2011-07-16,fall,0,7,21,0,Saturday,No,Clear,0.7,0.6515,0.58,0.2239,85.0,167.0,
4632,4633,2011-07-16,fall,0,7,22,0,Saturday,No,Clear,0.7,0.6515,0.65,0.2836,65.0,136.0,201.0
4633,4634,2011-07-16,fall,0,7,23,0,Saturday,No,Clear,0.68,0.6364,0.61,0.2239,61.0,107.0,168.0
4634,4635,2011-07-17,fall,0,7,0,0,Sunday,No,Clear,0.66,0.6212,0.65,0.2239,34.0,91.0,125.0
4635,4636,2011-07-17,fall,0,7,1,0,Sunday,No,Clear,0.64,0.6061,0.69,0.19399999999999998,16.0,86.0,102.0
4636,4637,2011-07-17,fall,0,7,2,0,Sunday,No,Clear,,0.6061,0.69,0.2239,28.0,66.0,94.0
4637,4638,2011-07-17,fall,0,7,3,0,Sunday,No,Clear,0.64,0.6061,0.69,0.2239,21.0,26.0,47.0
4638,4639,2011-07-17,fall,0,7,4,0,Sunday,No,Clear,0.62,0.5909,0.73,0.1642,4.0,6.0,10.0
4639,4640,2011-07-17,fall,0,7,5,0,Sunday,No,Clear,0.64,0.6061,0.69,0.2239,4.0,8.0,12.0
4640,4641,2011-07-17,fall,0,7,6,0,Sunday,No,Clear,0.62,,0.73,0.1642,10.0,11.0,21.0
4641,4642,2011-07-17,fall,0,7,7,0,Sunday,No,Clear,0.64,0.6061,0.73,0.1642,20.0,30.0,50.0
4642,4643,2011-07-17,fall,0,7,8,0,Sunday,No,Clear,0.68,0.6364,0.65,0.2239,45.0,73.0,
4643,4644,2011-07-17,fall,0,7,9,0,Sunday,No,,0.72,0.6667,0.58,0.2239,74.0,110.0,184.0
4644,4645,2011-07-17,fall,0,7,10,0,Sunday,No,Clear,0.74,0.6818,,0.2239,127.0,,
4645,4646,2011-07-17,fall,0,7,11,0,Sunday,No,Clear,0.76,0.6970000000000001,0.55,0.2836,147.0,244.0,391.0
4646,4647,2011-07-17,fall,0,7,12,0,Sunday,No,Clear,0.76,0.6970000000000001,0.55,0.2836,177.0,243.0,420.0
4647,4648,2011-07-17,fall,0,7,13,0,Sunday,No,Clear,0.8,,0.49,0.2985,,272.0,472.0
4648,4649,2011-07-17,fall,0,7,14,0,Sunday,No,Clear,0.8,0.7424,0.49,,168.0,262.0,430.0
4649,4650,2011-07-17,fall,0,7,15,0,Sunday,No,Clear,0.82,0.7424,0.43,0.2985,129.0,195.0,324.0
4650,4651,2011-07-17,fall,0,7,16,0,Sunday,No,Clear,0.8,,0.46,0.2985,129.0,188.0,317.0
4651,4652,2011-07-17,fall,0,7,17,0,Sunday,No,Clear,0.8,0.7424,0.49,0.3881,133.0,236.0,369.0
4652,4653,2011-07-17,fall,0,7,18,0,Sunday,No,,0.8,0.7273,0.46,0.2985,,243.0,
4653,4654,2011-07-17,fall,0,7,19,0,Sunday,No,Clear,0.76,0.6970000000000001,0.55,0.2836,145.0,234.0,379.0
4654,4655,2011-07-17,fall,0,7,20,0,Sunday,No,Clear,0.76,0.7121,0.58,0.2537,85.0,177.0,262.0
4655,4656,2011-07-17,fall,0,7,21,0,Sunday,No,Clear,0.74,0.6818,,0.2239,59.0,148.0,207.0
4656,4657,2011-07-17,fall,0,7,22,0,Sunday,No,Clear,0.72,0.6818,0.66,0.2239,65.0,116.0,
4657,4658,2011-07-17,fall,0,7,23,0,Sunday,No,Clear,,,0.74,0.1343,39.0,54.0,93.0
4658,4659,2011-07-18,fall,0,7,0,0,Monday,Yes,,0.7,0.6667,,0.1343,21.0,30.0,51.0
4659,4660,2011-07-18,fall,0,7,1,0,Monday,Yes,Clear,0.7,0.6667,0.74,0.2239,17.0,8.0,25.0
4660,4661,2011-07-18,fall,0,7,2,0,Monday,Yes,Clear,0.66,0.6061,0.83,0.2239,2.0,8.0,10.0
4661,4662,2011-07-18,fall,0,7,3,0,Monday,Yes,Clear,0.66,0.6061,0.78,0.19399999999999998,3.0,4.0,7.0
4662,4663,2011-07-18,fall,0,7,4,0,Monday,Yes,Clear,0.64,0.5909,0.78,0.1642,,3.0,4.0
4663,4664,2011-07-18,fall,0,7,5,0,Monday,Yes,Clear,0.64,,0.78,0.1045,2.0,15.0,17.0
4664,4665,2011-07-18,fall,0,7,6,0,Monday,Yes,Clear,0.64,0.5758,0.83,0.1045,10.0,95.0,105.0
4665,4666,2011-07-18,fall,0,7,7,0,Monday,Yes,Clear,0.68,0.6364,0.74,0.2239,22.0,255.0,277.0
4666,4667,2011-07-18,fall,0,7,8,0,Monday,Yes,,0.7,0.6515,0.7,0.19399999999999998,18.0,329.0,347.0
4667,4668,2011-07-18,fall,0,7,9,0,Monday,Yes,,,0.6970000000000001,0.67,0.2239,33.0,170.0,
4668,4669,2011-07-18,fall,0,7,10,0,Monday,Yes,Clear,0.76,0.7121,0.62,0.19399999999999998,52.0,78.0,130.0
4669,4670,2011-07-18,fall,0,7,11,0,Monday,Yes,Clear,0.8,0.7576,0.55,0.0896,42.0,99.0,141.0
4670,4671,2011-07-18,fall,0,7,12,0,Monday,Yes,,0.8,0.7727,0.59,0.19399999999999998,39.0,126.0,165.0
4671,4672,2011-07-18,fall,0,7,13,0,Monday,Yes,Clear,0.82,0.7879,0.56,0.2537,27.0,125.0,152.0
4672,4673,2011-07-18,fall,0,7,14,0,Monday,Yes,Clear,0.82,0.7879,0.56,0.3284,32.0,106.0,
4673,4674,2011-07-18,fall,0,7,15,0,Monday,Yes,Clear,0.84,0.8029999999999999,0.53,0.3284,,111.0,164.0
4674,4675,2011-07-18,fall,0,7,16,0,Monday,Yes,Clear,0.84,0.8029999999999999,0.53,,45.0,220.0,
4675,4676,2011-07-18,fall,0,7,17,0,Monday,Yes,Clear,0.84,0.7879,0.49,0.3284,,473.0,545.0
4676,4677,2011-07-18,fall,0,7,18,0,Monday,Yes,Clear,0.82,0.7727,0.49,0.3582,80.0,478.0,558.0
4677,4678,2011-07-18,fall,0,7,19,0,Monday,Yes,Clear,0.8,0.7576,0.55,0.2239,63.0,335.0,398.0
4678,4679,2011-07-18,fall,0,7,20,0,Monday,Yes,Clear,0.78,0.7424,0.59,0.2239,91.0,232.0,323.0
4679,4680,2011-07-18,fall,0,7,21,0,Monday,Yes,Clear,0.74,0.6970000000000001,0.66,0.19399999999999998,48.0,154.0,202.0
4680,4681,2011-07-18,fall,0,7,22,0,Monday,Yes,Clear,0.76,0.7273,0.66,0.2239,36.0,104.0,140.0
4681,4682,2011-07-18,fall,0,7,23,0,Monday,Yes,Clear,0.74,0.6970000000000001,0.66,0.1642,32.0,59.0,91.0
4682,4683,2011-07-19,fall,0,7,0,0,Tuesday,Yes,,0.74,0.6970000000000001,0.66,0.1045,,26.0,51.0
4683,4684,2011-07-19,fall,0,7,1,0,Tuesday,Yes,Cloudy,0.74,0.6970000000000001,,0.1343,7.0,6.0,13.0
4684,4685,2011-07-19,fall,0,7,2,0,Tuesday,Yes,Clear,0.72,0.6818,,0.1642,9.0,4.0,
4685,4686,2011-07-19,fall,0,7,3,0,Tuesday,Yes,Clear,0.72,0.6818,0.7,0.1642,2.0,1.0,3.0
4686,4687,2011-07-19,fall,0,7,4,0,Tuesday,Yes,Clear,0.72,0.6818,0.7,0.1343,1.0,4.0,5.0
4687,4688,2011-07-19,fall,0,7,5,0,Tuesday,Yes,Cloudy,0.7,0.6667,0.74,0.1045,0.0,19.0,
4688,4689,2011-07-19,fall,0,7,6,0,Tuesday,Yes,Cloudy,0.72,,0.74,0.1045,8.0,126.0,134.0
4689,4690,2011-07-19,fall,0,7,7,0,Tuesday,Yes,Cloudy,0.74,0.6970000000000001,0.7,0.1642,28.0,287.0,315.0
4690,4691,2011-07-19,fall,0,7,8,0,Tuesday,Yes,,0.76,0.7273,0.7,0.1642,31.0,381.0,412.0
4691,4692,2011-07-19,fall,0,7,9,0,Tuesday,Yes,Cloudy,0.8,0.7879,0.63,0.1343,22.0,177.0,199.0
4692,4693,2011-07-19,fall,0,7,10,0,Tuesday,Yes,Cloudy,0.82,0.7879,0.56,0.1642,,112.0,141.0
4693,4694,2011-07-19,fall,0,7,11,0,Tuesday,Yes,Clear,0.82,0.8029999999999999,0.59,0.0,,98.0,127.0
4694,4695,2011-07-19,fall,0,7,12,0,Tuesday,Yes,Clear,0.84,0.8182,0.56,0.0896,26.0,127.0,153.0
4695,4696,2011-07-19,fall,0,7,13,0,Tuesday,Yes,Clear,0.86,0.8333,0.53,0.1045,,139.0,172.0
4696,4697,2011-07-19,fall,0,7,14,0,Tuesday,Yes,Clear,,,0.5,0.19399999999999998,41.0,111.0,152.0
4697,4698,2011-07-19,fall,0,7,15,0,Tuesday,Yes,Clear,0.88,0.8182,0.44,,48.0,110.0,158.0
4698,4699,2011-07-19,fall,0,7,16,0,Tuesday,Yes,Clear,0.9,0.8485,0.42,0.2985,61.0,216.0,277.0
4699,4700,2011-07-19,fall,0,7,17,0,Tuesday,Yes,Clear,0.8,0.8029999999999999,,0.0,68.0,445.0,513.0
4700,4701,2011-07-19,fall,0,7,18,0,Tuesday,Yes,Clear,0.8,0.8029999999999999,0.66,0.1343,80.0,450.0,530.0
4701,4702,2011-07-19,fall,0,7,19,0,Tuesday,Yes,,0.76,0.7424,0.75,0.19399999999999998,54.0,334.0,388.0
4702,4703,2011-07-19,fall,0,7,20,0,Tuesday,Yes,Clear,0.74,0.7273,0.74,0.0896,48.0,229.0,277.0
4703,4704,2011-07-19,fall,0,7,21,0,Tuesday,Yes,Clear,0.74,0.7121,0.74,0.1343,,194.0,241.0
4704,4705,2011-07-19,fall,0,7,22,0,Tuesday,Yes,Clear,0.74,0.7121,0.74,0.0,36.0,120.0,156.0
4705,4706,2011-07-19,fall,0,7,23,0,Tuesday,Yes,,0.72,0.6970000000000001,0.79,0.1642,19.0,73.0,92.0
4706,4707,2011-07-20,fall,0,7,0,0,Wednesday,Yes,Clear,0.7,0.6667,0.84,0.1045,,29.0,40.0
4707,4708,2011-07-20,fall,0,7,1,0,Wednesday,Yes,Clear,0.7,0.6667,0.84,0.0,4.0,7.0,11.0
4708,4709,2011-07-20,fall,0,7,2,0,Wednesday,Yes,Clear,0.7,0.6667,0.84,0.0,2.0,7.0,9.0
4709,4710,2011-07-20,fall,0,7,3,0,Wednesday,Yes,Clear,0.7,0.6667,0.84,0.1045,2.0,4.0,6.0
4710,4711,2011-07-20,fall,0,7,4,0,Wednesday,Yes,Clear,0.68,0.6364,0.83,0.0,0.0,4.0,4.0
4711,4712,2011-07-20,fall,0,7,5,0,Wednesday,Yes,Clear,0.68,0.6364,0.83,0.1045,4.0,19.0,23.0
4712,4713,2011-07-20,fall,0,7,6,0,Wednesday,Yes,Cloudy,0.68,0.6364,0.89,0.1045,5.0,111.0,
4713,4714,2011-07-20,fall,0,7,7,0,Wednesday,Yes,Cloudy,0.7,,0.84,0.1045,27.0,276.0,303.0
4714,4715,2011-07-20,fall,0,7,8,0,Wednesday,Yes,Clear,0.74,0.7121,0.74,0.0,34.0,404.0,438.0
4715,4716,2011-07-20,fall,0,7,9,0,Wednesday,Yes,Clear,0.74,0.6970000000000001,0.7,0.0896,28.0,181.0,209.0
4716,4717,2011-07-20,fall,0,7,10,0,Wednesday,Yes,Clear,0.76,0.7273,0.7,,34.0,76.0,110.0
4717,4718,2011-07-20,fall,0,7,11,0,Wednesday,Yes,Clear,0.8,0.7879,0.63,0.0896,26.0,116.0,
4718,4719,2011-07-20,fall,0,7,12,0,Wednesday,Yes,Clear,0.82,0.8029999999999999,0.59,0.0,28.0,121.0,149.0
4719,4720,2011-07-20,fall,0,7,13,0,Wednesday,Yes,Clear,0.84,0.8182,0.56,0.19399999999999998,23.0,97.0,120.0
4720,4721,2011-07-20,fall,0,7,14,0,Wednesday,Yes,Clear,0.86,0.8333,0.53,0.2239,44.0,83.0,127.0
4721,4722,2011-07-20,fall,0,7,15,0,Wednesday,Yes,Clear,0.86,0.8182,0.5,0.1642,36.0,102.0,138.0
4722,4723,2011-07-20,fall,0,7,16,0,Wednesday,Yes,Clear,0.84,0.8182,0.56,0.0,30.0,204.0,234.0
4723,4724,2011-07-20,fall,0,7,17,0,Wednesday,Yes,Clear,0.84,0.8333,0.59,,50.0,405.0,455.0
4724,4725,2011-07-20,fall,0,7,18,0,Wednesday,Yes,Clear,0.84,0.8333,0.59,0.2239,68.0,429.0,497.0
4725,4726,2011-07-20,fall,0,7,19,0,Wednesday,Yes,Clear,0.82,0.8485,0.67,0.1642,59.0,,382.0
4726,4727,2011-07-20,fall,0,7,20,0,Wednesday,Yes,Clear,0.8,,0.75,,45.0,264.0,309.0
4727,4728,2011-07-20,fall,0,7,21,0,Wednesday,Yes,Clear,0.8,0.8029999999999999,0.66,0.1642,33.0,209.0,242.0
4728,4729,2011-07-20,fall,0,7,22,0,Wednesday,Yes,Clear,0.78,0.7727,,0.2239,25.0,144.0,169.0
4729,4730,2011-07-20,fall,0,7,23,0,Wednesday,Yes,Clear,0.76,0.7424,0.75,0.2537,26.0,73.0,99.0
4730,4731,2011-07-21,fall,0,7,0,0,Thursday,Yes,Cloudy,0.76,0.7424,0.75,0.19399999999999998,13.0,,42.0
4731,4732,2011-07-21,fall,0,7,1,0,Thursday,Yes,Cloudy,,0.7273,0.84,0.2239,5.0,16.0,21.0
4732,4733,2011-07-21,fall,0,7,2,0,Thursday,Yes,Cloudy,,0.7273,0.84,,2.0,4.0,6.0
4733,4734,2011-07-21,fall,0,7,3,0,Thursday,Yes,Cloudy,0.74,0.7121,0.79,0.1343,1.0,5.0,6.0
4734,4735,2011-07-21,fall,0,7,4,0,Thursday,Yes,Cloudy,0.72,0.7121,0.84,0.1045,0.0,4.0,4.0
4735,4736,2011-07-21,fall,0,7,5,0,Thursday,Yes,Cloudy,0.72,0.7121,0.84,0.1045,2.0,16.0,18.0
4736,4737,2011-07-21,fall,0,7,6,0,Thursday,Yes,Cloudy,0.72,0.7121,0.84,0.1045,6.0,111.0,117.0
4737,4738,2011-07-21,fall,0,7,7,0,Thursday,Yes,,,0.7273,0.84,0.1343,23.0,251.0,274.0
4738,4739,2011-07-21,fall,0,7,8,0,Thursday,Yes,,0.76,0.7576,0.79,0.1642,23.0,358.0,381.0
4739,4740,2011-07-21,fall,0,7,9,0,Thursday,Yes,Cloudy,0.8,0.8182,0.75,0.2537,34.0,166.0,200.0
4740,4741,2011-07-21,fall,0,7,10,0,Thursday,Yes,Cloudy,0.82,0.8636,,0.2239,31.0,47.0,78.0
4741,4742,2011-07-21,fall,0,7,11,0,Thursday,Yes,Cloudy,0.86,0.8939,0.63,0.2985,27.0,,106.0
4742,4743,2011-07-21,fall,0,7,12,0,Thursday,Yes,Clear,0.88,0.8939,0.56,0.3284,29.0,106.0,135.0
4743,4744,2011-07-21,fall,0,7,13,0,Thursday,Yes,Clear,0.88,0.8939,0.56,0.2985,21.0,81.0,102.0
4744,4745,2011-07-21,fall,0,7,14,0,Thursday,Yes,Clear,0.9,0.8939,0.5,0.3582,,97.0,147.0
4745,4746,2011-07-21,fall,0,7,15,0,Thursday,Yes,,0.9,0.9242,0.53,0.2537,40.0,93.0,133.0
4746,4747,2011-07-21,fall,0,7,16,0,Thursday,Yes,Clear,0.92,,0.48,0.2836,43.0,167.0,210.0
4747,4748,2011-07-21,fall,0,7,17,0,Thursday,Yes,Clear,0.92,0.9091,0.45,0.2985,40.0,374.0,414.0
4748,4749,2011-07-21,fall,0,7,18,0,Thursday,Yes,Clear,,0.8939,,0.2836,39.0,343.0,382.0
4749,4750,2011-07-21,fall,0,7,19,0,Thursday,Yes,Clear,0.86,,0.67,0.2836,51.0,233.0,284.0
4750,4751,2011-07-21,fall,0,7,20,0,Thursday,Yes,Clear,0.84,0.8939,0.71,0.2239,38.0,199.0,237.0
4751,4752,2011-07-21,fall,0,7,21,0,Thursday,Yes,Clear,0.82,0.8939,0.75,0.2239,,187.0,225.0
4752,4753,2011-07-21,fall,0,7,22,0,Thursday,Yes,Clear,0.82,0.8636,0.71,0.1642,36.0,113.0,149.0
4753,4754,2011-07-21,fall,0,7,23,0,Thursday,Yes,Clear,0.8,0.8182,0.71,0.1642,40.0,73.0,113.0
4754,4755,2011-07-22,fall,0,7,0,0,Friday,Yes,Clear,0.82,0.8333,,0.1343,9.0,,60.0
4755,4756,2011-07-22,fall,0,7,1,0,Friday,Yes,Clear,,0.7879,0.63,0.0,7.0,17.0,24.0
4756,4757,2011-07-22,fall,0,7,2,0,Friday,Yes,Clear,0.78,0.8029999999999999,0.79,0.1343,0.0,14.0,
4757,4758,2011-07-22,fall,0,7,3,0,Friday,Yes,Clear,0.78,0.7879,0.75,,1.0,6.0,7.0
4758,4759,2011-07-22,fall,0,7,4,0,Friday,Yes,Clear,0.76,0.7424,0.75,0.1045,8.0,5.0,
4759,4760,2011-07-22,fall,0,7,5,0,Friday,Yes,Clear,0.74,0.7121,0.79,,2.0,17.0,19.0
4760,4761,2011-07-22,fall,0,7,6,0,Friday,Yes,Clear,,0.7424,0.75,0.0896,13.0,83.0,96.0
4761,4762,2011-07-22,fall,0,7,7,0,Friday,Yes,Cloudy,0.8,0.8029999999999999,0.66,0.1045,20.0,232.0,252.0
4762,4763,2011-07-22,fall,0,7,8,0,Friday,Yes,Cloudy,0.84,0.8485,0.63,0.1642,30.0,292.0,
4763,4764,2011-07-22,fall,0,7,9,0,Friday,Yes,Clear,0.86,0.8939,0.63,0.0896,31.0,177.0,208.0
4764,4765,2011-07-22,fall,0,7,10,0,Friday,Yes,Clear,0.9,0.9242,0.53,0.0896,32.0,83.0,115.0
4765,4766,2011-07-22,fall,0,7,11,0,Friday,Yes,Clear,0.9,0.8939,0.5,0.1045,23.0,86.0,109.0
4766,4767,2011-07-22,fall,0,7,12,0,Friday,Yes,Clear,0.94,0.9545,0.48,0.1642,20.0,95.0,115.0
4767,4768,2011-07-22,fall,0,7,13,0,Friday,Yes,Clear,0.94,0.9848,0.51,,,98.0,123.0
4768,4769,2011-07-22,fall,0,7,14,0,Friday,Yes,Clear,0.96,1.0,0.48,0.2985,24.0,77.0,101.0
4769,4770,2011-07-22,fall,0,7,15,0,Friday,Yes,Clear,0.94,0.9848,0.51,0.2985,32.0,101.0,133.0
4770,4771,2011-07-22,fall,0,7,16,0,Friday,Yes,,0.9,0.8333,0.39,,29.0,153.0,182.0
4771,4772,2011-07-22,fall,0,7,17,0,Friday,Yes,Clear,0.88,0.8485,0.47,0.1045,35.0,271.0,306.0
4772,4773,2011-07-22,fall,0,7,18,0,Friday,Yes,Clear,0.9,0.8182,0.37,0.1642,,250.0,284.0
4773,4774,2011-07-22,fall,0,7,19,0,Friday,Yes,Cloudy,0.86,0.7879,0.41,0.1045,40.0,210.0,250.0
4774,4775,2011-07-22,fall,0,7,20,0,Friday,Yes,Clear,0.84,0.8182,,0.0,46.0,166.0,212.0
4775,4776,2011-07-22,fall,0,7,21,0,Friday,Yes,Clear,0.82,0.8029999999999999,0.59,,38.0,152.0,190.0
4776,4777,2011-07-22,fall,0,7,22,0,Friday,Yes,Cloudy,0.84,0.7879,0.49,0.0896,44.0,105.0,149.0
4777,4778,2011-07-22,fall,0,7,23,0,Friday,Yes,Clear,0.8,0.7879,0.63,0.19399999999999998,,84.0,103.0
4778,4779,2011-07-23,fall,0,7,0,0,Saturday,No,Clear,,0.7879,0.56,0.0,16.0,85.0,101.0
4779,4780,2011-07-23,fall,0,7,1,0,Saturday,No,Clear,0.82,0.7727,0.52,0.1045,13.0,57.0,70.0
4780,4781,2011-07-23,fall,0,7,2,0,Saturday,No,Clear,0.82,0.7727,0.52,0.0,13.0,48.0,61.0
4781,4782,2011-07-23,fall,0,7,3,0,Saturday,No,Clear,0.78,0.7576,0.66,0.0896,,16.0,22.0
4782,4783,2011-07-23,fall,0,7,4,0,Saturday,No,Clear,,0.7273,0.66,0.1045,5.0,,9.0
4783,4784,2011-07-23,fall,0,7,5,0,Saturday,No,Clear,0.76,0.7121,0.62,0.1343,1.0,6.0,7.0
4784,4785,2011-07-23,fall,0,7,6,0,Saturday,No,,0.8,0.7424,0.52,0.1343,6.0,19.0,25.0
4785,4786,2011-07-23,fall,0,7,7,0,Saturday,No,Clear,0.8,0.7424,0.52,0.1045,7.0,38.0,45.0
4786,4787,2011-07-23,fall,0,7,8,0,Saturday,No,Clear,0.84,0.7879,0.49,0.2537,24.0,85.0,109.0
4787,4788,2011-07-23,fall,0,7,9,0,Saturday,No,Clear,,0.7879,0.49,0.1642,30.0,102.0,132.0
4788,4789,2011-07-23,fall,0,7,10,0,Saturday,No,Clear,0.86,0.7879,0.41,0.2239,61.0,137.0,198.0
4789,4790,2011-07-23,fall,0,7,11,0,Saturday,No,Clear,0.9,0.8182,0.37,0.19399999999999998,62.0,154.0,216.0
4790,4791,2011-07-23,fall,0,7,12,0,Saturday,No,Clear,0.92,0.8636,0.37,0.1045,71.0,164.0,235.0
4791,4792,2011-07-23,fall,0,7,13,0,Saturday,No,Clear,0.94,0.8788,0.38,0.1642,78.0,167.0,245.0
4792,4793,2011-07-23,fall,0,7,14,0,Saturday,No,Clear,,0.8939,0.42,0.0,84.0,152.0,
4793,4794,2011-07-23,fall,0,7,15,0,Saturday,No,Clear,0.94,0.8788,0.38,0.0,78.0,137.0,215.0
4794,4795,2011-07-23,fall,0,7,16,0,Saturday,No,Clear,,0.8788,0.38,0.1343,,,221.0
4795,4796,2011-07-23,fall,0,7,17,0,Saturday,No,Clear,0.94,0.8788,0.38,0.1343,70.0,127.0,197.0
4796,4797,2011-07-23,fall,0,7,18,0,Saturday,No,Clear,0.92,0.8788,0.4,,62.0,134.0,196.0
4797,4798,2011-07-23,fall,0,7,19,0,Saturday,No,,0.82,0.8029999999999999,0.59,0.1343,80.0,137.0,217.0
